word,meaning,meaning_vi,phonetics,note,example,type,level
dollar,"the unit of money in the US, Canada, Australia and several other countries","(ký hiệu $) đồng đô-la (từ Mỹ, Canada, Úc…)",/ˈdɒlə(r)/,"the unit of money in the US, Canada, Australia and several other countries",You will be paid in American dollars.,noun,A1
door,"a piece of wood, glass, etc. that is opened and closed so that people can get in and out of a room, building, car, etc.; a similar thing in a cupboard","cửa, cửa ra vào (nhà, xe ô tô...)",/dɔː(r)/,"a piece of wood, glass, etc. that is opened and closed so that people can get in and out of a room, building, car, etc.; a similar thing in a cupboard",Please close the door behind you.,noun,A1
down,to or at a lower place or position,xuống dưới,/daʊn/,to or at a lower place or position,She jumped down off the chair.,adverb,A1
downstairs,"down the stairs; on or to a floor of a house or building lower than the one you are on, especially the one at ground level","xuống cầu thang, xuống gác",/ˌdaʊnˈsteəz/,"down the stairs; on or to a floor of a house or building lower than the one you are on, especially the one at ground level",I couldn't sleep so I went downstairs and watched TV.,adverb,A1
draw,"to make pictures, or a picture of something, with a pencil, pen or chalk (but not paint)",vẽ,/drɔː/,"to make pictures, or a picture of something, with a pencil, pen or chalk (but not paint)",You draw beautifully.,verb,A1
dress,"a piece of women’s clothing that is made in one piece and covers the body down to the legs, sometimes reaching to below the knees, or to the ankles",váy dài,/dres/,"a piece of women’s clothing that is made in one piece and covers the body down to the legs, sometimes reaching to below the knees, or to the ankles",She looked stunning in her new dress.,noun,A1
drink,to take liquid into the body through the mouth,uống,/drɪŋk/,to take liquid into the body through the mouth,I drink a cup of coffee every morning.,verb,A1
drive,to operate a vehicle so that it goes in a particular direction,lái xe,/draɪv/,to operate a vehicle so that it goes in a particular direction,Can you drive?,verb,A1
driver,a person who drives a vehicle,"người lái xe, tài xe",/ˈdraɪvə(r)/,a person who drives a vehicle,My uncle is a taxi driver.,noun,A1
during,all through a period of time,"trong thời gian, trong lúc",/ˈdjʊərɪŋ/,all through a period of time,"During the summer, I like to go swimming at the beach.",preposition,A1
ear,either of the organs on the sides of the head that you hear with,tai,/ɪə(r)/,either of the organs on the sides of the head that you hear with,I heard a strange noise in my ear and went to the doctor to have it checked.,noun,A1
early,"near the beginning of a period of time, an event etc.","sớm, đầu",/ˈɜːli/,"near the beginning of a period of time, an event etc.",I woke up early this morning to go for a run before work.,adjective,A1
east,the direction that you look towards to see the sun rise; one of the four main points of the compass,"hướng đông, phương đông, phía đông",/iːst/,the direction that you look towards to see the sun rise; one of the four main points of the compass,Which way is east?,noun,A1
easy,not difficult; done or obtained without a lot of effort or problems,"dễ, dễ dàng",/ˈiːzi/,not difficult; done or obtained without a lot of effort or problems,"That math problem was so easy, I finished it in seconds.",adjective,A1
eat,"to put food in your mouth, bite it and swallow it",ăn,/iːt/,"to put food in your mouth, bite it and swallow it",I was too nervous to eat.,verb,A1
egg,"a small oval object with a thin hard shell produced by a female bird and containing a young bird; a similar object (without a hard shell) produced by a female fish, insect, etc.",trứng,/eɡ/,"a small oval object with a thin hard shell produced by a female bird and containing a young bird; a similar object (without a hard shell) produced by a female fish, insect, etc.",I had scrambled eggs for breakfast this morning.,noun,A1
elephant,"a very large animal with thick grey skin, large ears, two curved outer teeth called tusks and a long nose called a trunk. There are two types of elephant, the African and the Asian.",con voi,/ˈelɪfənt/,"a very large animal with thick grey skin, large ears, two curved outer teeth called tusks and a long nose called a trunk. There are two types of elephant, the African and the Asian.",I love going to the zoo to see the elephants.,noun,A1
eleven,the number 11,số mười một,/ɪˈlevn/,the number 11,There are only eleven of these rare animals left.,number,A1
email,a way of sending messages and data to other people by means of computers connected together in a network,thư điện tử,/ˈiːmeɪl/,a way of sending messages and data to other people by means of computers connected together in a network,"I will be on vacation for a week in November, with no access to email.",noun,A1
end,"the final part of a period of time, an event, an activity or a story",sự kết thúc,/end/,"the final part of a period of time, an event, an activity or a story",It's the end of an era.,noun,A1
enjoy,to get pleasure from something,"thích thú, yêu thích",/ɪnˈdʒɔɪ/,to get pleasure from something,We thoroughly enjoyed our time in New York.,verb,A1
enough,used before plural or uncountable nouns to mean ‘as many or as much as somebody needs or wants’,"đủ, đủ dùng",/ɪˈnʌf/,used before plural or uncountable nouns to mean ‘as many or as much as somebody needs or wants’,"I have had enough to eat, thank you.",determiner,A1
euro,the unit of money of some countries of the European Union,đồng euro,/ˈjʊərəʊ/,the unit of money of some countries of the European Union,I paid five euros for it.,noun,A1
even,used to emphasize something unexpected or surprising,"thậm chí, ngay cả",/ˈiːvn/,used to emphasize something unexpected or surprising,She didn't even call to say she wasn't coming.,adverb,A1
evening,the part of the day between the afternoon and the time you go to bed,buổi tối (thời gian trong ngày từ giữa buổi chiều và giờ đi ngủ),/ˈiːvnɪŋ/,the part of the day between the afternoon and the time you go to bed,Remember to call me this evening.,noun,A1
event,"a thing that happens, especially something important",sự kiện,/ɪˈvent/,"a thing that happens, especially something important",I'm excited for the upcoming event because there will be great food and live music.,noun,A1
ever,"used in negative sentences and questions, or sentences with if to mean ‘at any time’",vào bất cứ lúc nào; bao giờ,/ˈevə(r)/,"used in negative sentences and questions, or sentences with if to mean ‘at any time’",Nothing ever happens in this village.,adverb,A1
every,used with singular nouns to refer to all the members of a group of things or people,"mỗi, mọi",/ˈevri/,used with singular nouns to refer to all the members of a group of things or people,She knows every student in the school.,determiner,A1
everybody,every person; all people,mọi người,/ˈevribɒdi/,every person; all people,Everybody knows Tom.,pronoun,A1
everyone,every person; all people,mọi người,/ˈevriwʌn/,every person; all people,Everyone cheered and clapped.,pronoun,A1
everything,all things,"mọi vật, mọi cái, mọi thứ",/ˈevriθɪŋ/,all things,Everything had gone.,pronoun,A1
exam,"a formal written, spoken or practical test, especially at school or college, to see how much you know about a subject, or what you can do","bài thi, kì thi, bài kiểm tra",/ɪɡˈzæm/,"a formal written, spoken or practical test, especially at school or college, to see how much you know about a subject, or what you can do",I studied really hard for my final exam.,noun,A1
example,"something such as an object, a fact or a situation that shows, explains or supports what you say","ví dụ, thí dụ",/ɪɡˈzɑːmpl/,"something such as an object, a fact or a situation that shows, explains or supports what you say",Let me give you an example.,noun,A1
excited,feeling or showing happiness and enthusiasm,"hào hứng, phấn khích",/ɪkˈsaɪtɪd/,feeling or showing happiness and enthusiasm,Staff got excited when they heard they were getting a bonus.,adjective,A1
exciting,causing great interest or excitement,"làm náo động, kích thích, hứng thú, thú vị",/ɪkˈsaɪtɪŋ/,causing great interest or excitement,This is an exciting opportunity for me.,adjective,A1
exercise,physical or mental activity that you do to stay healthy or become stronger,"sự tập luyện, bài tập luyện, bài thể dục",/ˈeksəsaɪz/,physical or mental activity that you do to stay healthy or become stronger,Swimming is good exercise.,noun,A1
expensive,costing a lot of money,đắt tiền,/ɪkˈspensɪv/,costing a lot of money,"I can't afford to buy that designer dress, it's too expensive.",adjective,A1
explain,"to give a reason, or be a reason, for something",giải thích,/ɪkˈspleɪn/,"to give a reason, or be a reason, for something",She tried to explain but he wouldn't listen.,verb,A1
extra,"more than is usual, expected, or than exists already","thêm, phụ, ngoại",/ˈekstrə/,"more than is usual, expected, or than exists already","Can you give me an extra slice of pizza, please?",adjective,A1
eye,either of the two organs on the face that you see with,mắt,/aɪ/,either of the two organs on the face that you see with,The suspect has dark hair and green eyes.,noun,A1
face,"the front part of the head, where the eyes, nose and mouth are","mặt, khuôn mặt",/feɪs/,"the front part of the head, where the eyes, nose and mouth are",She had a big smile on her face after winning the race.,noun,A1
fact,used to refer to a particular situation that exists,"sự thật, thực tế",/fækt/,used to refer to a particular situation that exists, I could no longer ignore the fact that he was unhappy.,noun,A1
fall,to drop down from a higher level to a lower level,rơi,/fɔːl/,to drop down from a higher level to a lower level,The rain was falling steadily.,verb,A1
false,wrong; not correct or true,sai,/fɔːls/,wrong; not correct or true,"The rumor that she failed the exam was false, she actually got an A.",adjective,A1
family,a group consisting of one or two parents and their children,gia đình,/ˈfæməli/,a group consisting of one or two parents and their children,I introduced Neil to the other members of my family.,noun,A1
famous,known about by many people,"nổi tiếng, nổi danh",/ˈfeɪməs/,known about by many people,I saw a famous actor walking down the street yesterday.,adjective,A1
fantastic,extremely good; excellent,"tuyệt vời, rất tốt",/fænˈtæstɪk/,extremely good; excellent,He's done a fantastic job.,adjective,A1
far,a long distance away,"xa, xa xôi",/fɑː(r)/,a long distance away,We didn't go far.,adverb,A1
farm,"an area of land, and the buildings on it, used for growing crops and/or keeping animals",nông trại; trang trại,/fɑːm/,"an area of land, and the buildings on it, used for growing crops and/or keeping animals","My grandparents live on a farm and raise chickens, cows, and horses.",noun,A1
farmer,a person who owns or manages a farm,nông dân,/ˈfɑːmə(r)/,a person who owns or manages a farm,My parents are dairy farmers.,noun,A1
fast,moving or able to move quickly,"nhanh, mau",/fæst/,moving or able to move quickly,Don't drive too fast!,adjective,A1
fat,having too much flesh on it and weighing too much,béo mập,/fæt/,having too much flesh on it and weighing too much,Eating too much junk food can make you gain fat and become unhealthy.,adjective,A1
father,a male parent of a child or an animal; a person who is acting as the father to a child,"cha, bố",/ˈfɑːðə(r)/,a male parent of a child or an animal; a person who is acting as the father to a child,My father died in 2017.,noun,A1
favourite,a person or thing that you like more than the others of the same type,"yêu thích, ưa chuộng",/ˈfeɪvərɪt/,a person or thing that you like more than the others of the same type,What is your favourite fruit?,adjective,A1
feel,to experience a particular feeling or emotion,"thấy, cảm thấy",/fiːl/,to experience a particular feeling or emotion,The bus ride made me feel sick.,verb,A1
feeling,something that you feel through the mind or through the senses,cảm giác,/ˈfiːlɪŋ/,something that you feel through the mind or through the senses,"After a long day at work, I have a great feeling of relief when I finally get home.",noun,A1
festival,"a series of performances of music, plays, films, etc., usually organized in the same place once a year; a series of public events connected with a particular activity or idea",lễ hội,/ˈfestɪvl/,"a series of performances of music, plays, films, etc., usually organized in the same place once a year; a series of public events connected with a particular activity or idea",The music festival was a huge success.,noun,A1
fifth,5th,"thứ năm (về số thứ tự), ngày mùng 5",/fɪfθ/,5th,Today is the fifth of May.,ordinal number,A1
fifty,the number 50,số năm mươi,/ˈfɪfti/,the number 50,My father is fifty years old.,noun,A1
fill,to make something full of something; to become full of something,"làm đầy, đổ đầy, rót đầy, đắp đầy",/fɪl/,to make something full of something; to become full of something,Please fill this glass for me.,verb,A1
film,"a series of moving pictures recorded with sound that tells a story, watched at a cinema or on a television or other device","phim (phim ảnh, phim chiếu bóng...)",/fɪlm/,"a series of moving pictures recorded with sound that tells a story, watched at a cinema or on a television or other device",Let's stay in and watch a film.,noun,A1
final,"being or happening at the end of a series of events, actions, statements, etc.","cuối cùng, cuối",/ˈfaɪnl/,"being or happening at the end of a series of events, actions, statements, etc.",I need to double-check my work before submitting the final report.,adjective,A1
find,to discover somebody/something unexpectedly or by chance,"thấy, tìm thấy, bắt được",/faɪnd/,to discover somebody/something unexpectedly or by chance,I'm going to the store to find some ingredients for dinner tonight.,verb,A1
finish,to stop doing something or making something because it is complete,"chấm dứt, kết thúc, hoàn thành, làm xong",/ˈfɪnɪʃ/,to stop doing something or making something because it is complete,Haven't you finished your homework yet?,verb,A1
fire,"the flames, light and heat, and often smoke, that are produced when something burns",lửa,/ˈfaɪə(r)/,"the flames, light and heat, and often smoke, that are produced when something burns",Most animals are afraid of fire.,noun,A1
first,happening or coming before all other similar things or people; 1st,"thứ nhất, đầu tiên",/fɜːst/,happening or coming before all other similar things or people; 1st,My first job after college was working at a marketing agency.,"determiner, ordinal number",A1
fish,"a creature that lives in water, breathes through gills, and uses fins and a tail for swimming",cá,/fɪʃ/,"a creature that lives in water, breathes through gills, and uses fins and a tail for swimming",They caught several fish.,noun,A1
flat,"a set of rooms for living in, usually on one floor of a building","dãy phòng cùng tầng, căn hộ",/flæt/,"a set of rooms for living in, usually on one floor of a building",They're renting a furnished flat on the third floor.,noun,A1
flight,"a journey made by air, especially in a plane",chuyến bay,/flaɪt/,"a journey made by air, especially in a plane",I will be taking a flight to New York next week.,noun,A1
floor,the surface of a room that you walk on,sàn nhà,/flɔːr/,the surface of a room that you walk on,I dropped my phone and now the screen is cracked on the floor.,noun,A1
flower,the coloured part of a plant from which the seed or fruit develops. Flowers usually grow at the end of a stem and last only a short time.,hoa,/ˈflaʊə(r)/,the coloured part of a plant from which the seed or fruit develops. Flowers usually grow at the end of a stem and last only a short time.,The plant has a beautiful bright red flower.,noun,A1
follow,to come or go after or behind somebody/something,theo sau,/ˈfɒləʊ/,to come or go after or behind somebody/something,Follow me please.,verb,A1
food,things that people or animals eat,thức ăn; thực phẩm,/fuːd/,things that people or animals eat,Pat had prepared food and drink for the work party.,noun,A1
foot,"the lowest part of the leg, below the ankle, on which a person or an animal stands",bàn chân,/fʊt/,"the lowest part of the leg, below the ankle, on which a person or an animal stands",I need to buy new shoes because my foot has grown a size.,noun,A1
football,"a game played by two teams of 11 players, using a round ball that players kick up and down the playing field. Teams try to kick the ball into the other team’s goal.",môn bóng đá,/ˈfʊtbɔːl/,"a game played by two teams of 11 players, using a round ball that players kick up and down the playing field. Teams try to kick the ball into the other team’s goal.",The kids were outside playing football.,noun,A1
forget,"to not remember to do something that you ought to do, or to bring or buy something that you ought to bring or buy",quên,/fəˈɡet/,"to not remember to do something that you ought to do, or to bring or buy something that you ought to bring or buy",I always forget where I put my keys.,verb,A1
form,a paper or set of papers printed with spaces in which answers to questions can be written or information can be recorded in an organized way,"biểu mẫu, đơn",/fɔːm/,a paper or set of papers printed with spaces in which answers to questions can be written or information can be recorded in an organized way,Please fill out this form with your personal information.,noun,A1
fourth,4th,"thứ tư (số thự tự), ngày mùng 4",/fɔːθ/,4th,Today is the fourth of May.,ordinal number,A1
free,without particular plans or arrangements; not busy,"rảnh rỗi, nghỉ",/friː/,without particular plans or arrangements; not busy,Are you free on Saturday? We're having a barbecue.,adjective,A1
friend,"a person you know well and like, and who is not usually a member of your family",bạn bè,/frend/,"a person you know well and like, and who is not usually a member of your family",This is my friend Tom.,noun,A1
friendly,behaving in a kind and pleasant way because you like somebody or want to help them,thân thiện; hữu nghị,/ˈfrendli/,behaving in a kind and pleasant way because you like somebody or want to help them,The hotel staff were very friendly and helpful during my stay.,adjective,A1
from,used to show where somebody/something starts,"đến từ, bắt nguồn từ",/frəm/ /frɒm/,used to show where somebody/something starts,I come from Viet Nam.,preposition,A1
front,the part or side of something that faces forward; the side of something that you look at first,"(the front) mặt trước, phía trước",/frʌnt/,the part or side of something that faces forward; the side of something that you look at first,The front of the building was covered with ivy.,noun,A1
fruit,"the part of a plant that consists of one or more seeds and a soft inner part, can be eaten as food and usually tastes sweet","trái cây, quả",/fruːt/,"the part of a plant that consists of one or more seeds and a soft inner part, can be eaten as food and usually tastes sweet",Banana is my favourite fruit.,noun,A1
full,containing or holding as much or as many as possible; having no empty space,đầy,/fʊl/,containing or holding as much or as many as possible; having no empty space,"The parking lot is full, I had to park on the street.",adjective,A1
fun,the feeling of enjoying yourself; activities that you enjoy,"sự vui đùa, sự vui thích, niềm vui, trò vui",/fʌn/,the feeling of enjoying yourself; activities that you enjoy,We had a lot of fun at Sarah's party.,noun,A1
funny,making you laugh,"buồn cười, khôi hài, vui vẻ",/ˈfʌni/,making you laugh,She tells me a funny story.,adjective,A1
future,the time that will come after the present or the events that will happen then,tương lai,/ˈfjuːtʃə(r)/,the time that will come after the present or the events that will happen then,We need to plan for the future.,noun,A1
game,"an activity that you do to have fun, often one that has rules and that you can win or lose; the equipment for a game",trò chơi,/ɡeɪm/,"an activity that you do to have fun, often one that has rules and that you can win or lose; the equipment for a game",My brother and I always play computer games in our free time.,noun,A1
garden,"a piece of land next to or around your house where you can grow flowers, fruit, vegetables, etc., usually with a lawn (= an area of grass)",vườn,/ˈɡɑːdn/,"a piece of land next to or around your house where you can grow flowers, fruit, vegetables, etc., usually with a lawn (= an area of grass)",I love spending time in my garden during the summer.,noun,A1
geography,"the scientific study of the earth’s surface, physical features, divisions, products, population, etc.",địa lí,/dʒiˈɒɡrəfi/,"the scientific study of the earth’s surface, physical features, divisions, products, population, etc.",Geography was always my favorite subject in school.,noun,A1
girl,a female child,cô gái,/ɡɜːl/,a female child,The little girl smiled and waved at me as she walked by.,noun,A1
girlfriend,a girl or a woman that somebody is having a romantic relationship with,"bạn gái, người yêu",/ˈɡɜːlfrend/,a girl or a woman that somebody is having a romantic relationship with,He’s got a new girlfriend.,noun,A1
give,"to hand something to somebody so that they can look at it, use it or keep it for a time","cho, đưa, biếu, tặng",/ɡɪv/,"to hand something to somebody so that they can look at it, use it or keep it for a time",Give the letter to your mother when you've read it.,verb,A1
glass,"a hard, usually clear, substance used, for example, for making windows and bottles",kính; thủy tinh,/ɡlɑːs/,"a hard, usually clear, substance used, for example, for making windows and bottles",I accidentally broke the glass vase while cleaning the shelf.,noun,A1
good,of high quality or an acceptable standard,tốt; hay; giỏi,/ɡʊd/,of high quality or an acceptable standard,I had a good time at the party last night.,adjective,A1
goodbye,used when you are leaving somebody or when somebody else is leaving,chào tạm biệt,/ˌɡʊdˈbaɪ/,used when you are leaving somebody or when somebody else is leaving,Goodbye! It was great to meet you.,"exclamation, noun",A1
grandfather,the father of your father or mother,ông,/ˈɡrænfɑːðə(r)/,the father of your father or mother,The firm had been founded by his grandfather.,noun,A1
grandmother,the mother of your father or mother,bà,/ˈɡrænmʌðə(r)/,the mother of your father or mother,I always loved going to visit my grandmother.,noun,A1
grandparent,the father or mother of your father or mother,"ông, bà (nội, ngoại)",/ˈɡrænpeərənt/,the father or mother of your father or mother,The children are staying with their grandparents.,noun,A1
great,very good,tuyệt vời,/ɡreɪt/,very good,I had a great time at the concert last night.,adjective,A1
green,having the colour of grass or the leaves of most plants and trees,"xanh lá cây, màu lục",/ɡriːn/,having the colour of grass or the leaves of most plants and trees,The green light on the device indicates that it's fully charged.,adjective,A1
grey,having the colour of smoke or ashes,màu xám,/ɡreɪ/,having the colour of smoke or ashes,"I prefer to wear neutral colors like black, white, and grey.",adjective,A1
group,a number of people or things that are together in the same place or that are connected in some way,nhóm,/ɡruːp/,a number of people or things that are together in the same place or that are connected in some way,I'm meeting with a group of colleagues this afternoon to discuss the new project.,noun,A1
grow,"to increase in size, number, strength or quality","phát triển, tăng lên, lớn thêm",/ɡrəʊ/,"to increase in size, number, strength or quality",The sector is growing at a phenomenal rate.,verb,A1
guess,to try and give an answer or make a judgement about something without being sure of all the facts,"đoán, phỏng đoán, ước chừng",/ɡes/,to try and give an answer or make a judgement about something without being sure of all the facts,I don't really know. I'm just guessing.,verb,A1
guitar,a stringed musical instrument that is played by plucking or strumming its strings to produce sound,đàn ghi-ta,/ɡɪˈtɑːr/,a stringed musical instrument that is played by plucking or strumming its strings to produce sound,He played the guitar beautifully at the concert.,noun,A1
gym,"a room or hall with equipment for doing physical exercise, for example in a school",phòng tập thể dục,/dʒɪm/,"a room or hall with equipment for doing physical exercise, for example in a school",The school has recently built a new gym.,noun,A1
hair,the substance that looks like a mass of fine threads growing on a person's head,"tóc, mái tóc",/heə(r)/,the substance that looks like a mass of fine threads growing on a person's head,She has long dark hair.,noun,A1
half,either of two equal parts into which something is or can be divided,nửa,/hɑːf/,either of two equal parts into which something is or can be divided,I only ate half of the sandwich because I wasn't very hungry.,noun,A1
hand,"the part of the body at the end of the arm, including the fingers and thumb","tay, bàn tay",/hænd/,"the part of the body at the end of the arm, including the fingers and thumb",I hurt my hand while playing basketball yesterday.,noun,A1
happen,"to take place, especially without being planned","xảy ra, diễn ra",/ˈhæpən/,"to take place, especially without being planned",You'll never guess what's happened!,verb,A1
happy,feeling or showing pleasure; pleased,"hạnh phúc, sung sướng, vui vẻ",/ˈhæpi/,feeling or showing pleasure; pleased,My dog's tail wags happily when I come home from work.,adjective,A1
hard,"difficult to understand, do, experience, or deal with",khó khăn,/hɑːd/,"difficult to understand, do, experience, or deal with",It's hard to say which of them is lying.,adjective,A1
hat,"a piece of clothing made to fit the head, often with a brim (= a flat edge that sticks out), usually worn out of doors",cái mũ (thường có vành),/hæt/,"a piece of clothing made to fit the head, often with a brim (= a flat edge that sticks out), usually worn out of doors",She wore a wide-brimmed hat to protect her face from the sun.,noun,A1
hate,to dislike somebody/something very much,"ghét, căm ghét",/heɪt/,to dislike somebody/something very much,The two boys hated each other.,verb,A1
head,"the part of the body on top of the neck containing the eyes, nose, mouth and brain",đầu,/hed/,"the part of the body on top of the neck containing the eyes, nose, mouth and brain",She nodded her head in agreement.,noun,A1
health,the condition of a person’s body or mind,sức khỏe,/helθ/,the condition of a person’s body or mind,Exercising regularly and eating a balanced diet are important for maintaining good health.,noun,A1
healthy,having good health and not likely to become ill,"khỏe mạnh, tốt cho sức khỏe",/ˈhelθi/,having good health and not likely to become ill,I love cooking healthy meals with fresh ingredients for my family.,adjective,A1
hear,to be aware of sounds with your ears,"nghe, nghe thấy",/hɪə(r)/,to be aware of sounds with your ears,I can't hear very well.,verb,A1
help,"to help somebody move or do some other action by letting them lean on you, guiding them, etc.","giúp đỡ, cứu giúp, giúp",/help/,"to help somebody move or do some other action by letting them lean on you, guiding them, etc.",What can I do to help?,verb,A1
high,measuring a long distance from the bottom to the top,cao,/haɪ/,measuring a long distance from the bottom to the top,What's the highest mountain in the US?,adjective,A1
history,"he study of past events, particularly in human affairs, through a critical examination of sources and evidence in order to understand and interpret their significance and impact on the present","sử, sử học, lịch sử",/ˈhɪstri/,"he study of past events, particularly in human affairs, through a critical examination of sources and evidence in order to understand and interpret their significance and impact on the present",The battle was a turning point in human history.,noun,A1
hobby,an activity that you do for pleasure when you are not working,sở thích,/ˈhɒbi/,an activity that you do for pleasure when you are not working,Reading is my hobby.,noun,A1
holiday,a period of time when you are not at work or school,"ngày nghỉ lễ, ngày nghỉ",/ˈhɒlədeɪ/ /ˈhɒlədi/,a period of time when you are not at work or school,I'm going on holiday next week to a tropical island.,noun,A1
home,"the house or flat that you live in, especially with your family",mái ấm,/həʊm/,"the house or flat that you live in, especially with your family",Old people prefer to stay in their own homes.,noun,A1
homework,work that is given by teachers for students to do at home,bài tập về nhà,/ˈhəʊmwɜːk/,work that is given by teachers for students to do at home,I always do my homework on the bus.,noun,A1
hope,to want something to happen and think that it is possible,"hy vọng, mong",/həʊp/,to want something to happen and think that it is possible,All we can do now is wait and hope.,verb,A1
horse,"a large animal with four legs, a mane (= long thick hair on its neck) and a tail. Horses are used for riding on, pulling carriages, etc.",con ngựa,/hɔːs/,"a large animal with four legs, a mane (= long thick hair on its neck) and a tail. Horses are used for riding on, pulling carriages, etc.",She loves to ride her horse in the countryside.,noun,A1
hospital,a large building where people who are ill or injured are given medical treatment and care,bệnh viện,/ˈhɒspɪtl/,a large building where people who are ill or injured are given medical treatment and care,He had to go to hospital for treatment.,noun,A1
hot,having a high temperature; producing heat,"nóng, nóng bức",/hɒt/,having a high temperature; producing heat,"It's hot today, isn't it?",adjective,A1
hotel,"a building where people stay, usually for a short time, paying for their rooms and meals",khách sạn,/həʊˈtel/,"a building where people stay, usually for a short time, paying for their rooms and meals",I need to make a reservation at the hotel for my upcoming trip.,noun,A1
hour,60 minutes; one of the 24 parts that a day is divided into,"giờ, tiếng đồng hồ",/ˈaʊə(r)/,60 minutes; one of the 24 parts that a day is divided into,I spent an hour on the phone.,noun,A1
house,"a building for people to live in, usually for one family",ngôi nhà,/haʊs/,"a building for people to live in, usually for one family",We live in a two-bedroom house.,noun,A1
however,used to introduce a statement that contrasts with something that has just been said,"tuy nhiên, tuy thế, tuy vậy",/haʊˈevə(r)/,used to introduce a statement that contrasts with something that has just been said,"He was feeling bad. However, he went to work and tried to concentrate.",adverb,A1
hundred,100,trăm,/ˈhʌndrəd/,100,I have to read a hundred pages of this book by tomorrow.,number,A1
hungry,feeling that you want to eat something,đói,/ˈhʌŋɡri/,feeling that you want to eat something,I'm really hungry.,adjective,A1
husband,the man that somebody is married to; a married man,chồng,/ˈhʌzbənd/,the man that somebody is married to; a married man,"This is my husband, Steve.",noun,A1
ice,water that has frozen and become solid,"nước đá, băng",/aɪs/,water that has frozen and become solid,There was ice on the windows.,noun,A1
idea,"a plan, thought or suggestion, especially about what to do in a particular situation","ý tưởng, ý nghĩ, ý kiến",/aɪˈdɪə/,"a plan, thought or suggestion, especially about what to do in a particular situation",It would be a good idea to call before we leave.,noun,A1
imagine,to form a picture in your mind of what something might be like,"tưởng tượng, hình dung",/ɪˈmædʒɪn/,to form a picture in your mind of what something might be like,The house was just as she had imagined it.,verb,A1
important,having a great effect on people or things; of great value,quan trọng,/ɪmˈpɔːtnt/,having a great effect on people or things; of great value,It's important to wear sunscreen when spending time outside to protect your skin from the sun's harmful rays.,adjective,A1
improve,to become better than before; to make something/somebody better than before,"cải tiến, cải thiện; trở nên tốt hơn",/ɪmˈpruːv/,to become better than before; to make something/somebody better than before,Overall the situation has improved dramatically.,verb,A1
include,"if one thing includes another, it has the second thing as one of its parts","bao gồm, gồm có",/ɪnˈkluːd/,"if one thing includes another, it has the second thing as one of its parts",The tour included a visit to the Science Museum.,verb,A1
information,facts or details about somebody/something,thông tin,/ˌɪnfəˈmeɪʃn/,facts or details about somebody/something,I need more information about the job before deciding to apply.,noun,A1
interest,the feeling that you have when you want to know or learn more about somebody/something,sự quan tâm; sự thích thú,/ˈɪntrəst/ /ˈɪntrest/,the feeling that you have when you want to know or learn more about somebody/something,The case has attracted the interest of the public and media.,noun,A1
interested,giving your attention to something because you enjoy finding out about it or doing it; showing interest in something and finding it exciting,"quan tâm, chú ý, thích thú",/ˈɪntrəstɪd/ /ˈɪntrestɪd/,giving your attention to something because you enjoy finding out about it or doing it; showing interest in something and finding it exciting,I am interested in learning more about different cultures.,adjective,A1
interesting,"attracting your attention because it is/they are special, exciting or unusual",thú vị,/ˈɪntrəstɪŋ/ /ˈɪntrestɪŋ/,"attracting your attention because it is/they are special, exciting or unusual",The article raises several interesting questions.,adjective,A1
internet,"an international computer network connecting other networks and computers from companies, universities, etc.",mạng máy tính ,/ˈɪntənet/,"an international computer network connecting other networks and computers from companies, universities, etc.",He sometimes surfs the internet in his free time.,noun,A1
interview,"a formal meeting at which somebody is asked questions to see if they are suitable for a particular job, or for a course of study at a college, university, etc.",cuộc phỏng vấn (xin việc làm; của phóng viên báo…),/ˈɪntəvjuː/,"a formal meeting at which somebody is asked questions to see if they are suitable for a particular job, or for a course of study at a college, university, etc.",I have a job interview next week.,noun,A1
into,to a position in or inside something,"vào, vào trong",/ˈɪntə/ /ˈɪntu/ /ˈɪntuː/,to a position in or inside something,Let's come into the house.,preposition,A1
introduce,to tell two or more people who have not met before what each other’s names are; to tell somebody what your name is,giới thiệu (ai với ai),/ˌɪntrəˈdjuːs/,to tell two or more people who have not met before what each other’s names are; to tell somebody what your name is,Allow me to introduce my mother.,verb,A1
island,a piece of land that is completely surrounded by water,đảo,/ˈaɪlənd/,a piece of land that is completely surrounded by water,I am planning a trip to a beautiful island in the Caribbean.,noun,A1
jacket,"a piece of clothing worn on the top half of the body over a shirt, etc. that has arms and fastens down the front; a short, light coat",áo khoác,/ˈdʒækɪt/,"a piece of clothing worn on the top half of the body over a shirt, etc. that has arms and fastens down the front; a short, light coat",He wore a warm jacket to stay cozy in the cold weather.,noun,A1
jeans,trousers made of denim (= a type of strong cotton),quần bò,/dʒiːnz/,trousers made of denim (= a type of strong cotton),I always wear jeans.,noun,A1
job,work for which you receive regular payment,"công việc, việc làm",/dʒɒb/,work for which you receive regular payment,I don't have a job at present.,noun,A1
join,"to become a member of an organization, a company, a club, etc.","gia nhập, tham gia",/dʒɔɪn/,"to become a member of an organization, a company, a club, etc.",I would love to join you for dinner tonight.,verb,A1
journey,a long and often difficult process of personal change and development,"cuộc hành trình, chuyến đi",/ˈdʒɜːni/,a long and often difficult process of personal change and development,They went on a long train journey across India.,noun,A1
